"Profile Name","Is Interested","Event Date","Show","Has Watched"
"Arnav","","2021-10-15","Vincenzo",""
"Arnav","","2021-10-15","The Vampire Diaries",""
"Arnav","","2021-10-15","Elite",""
"Arnav","","2021-10-15","Peaky Blinders",""
"Arnav","","2021-10-15","Kota Factory",""
"Arnav","","2021-10-15","Narcos",""
"Arnav","","2021-10-15","Too Hot to Handle",""
"Arnav","","2021-10-15","Squid Game",""
"Arnav","","2021-10-15","Never Have I Ever",""
"Arnav","","2021-10-15","Stranger Things",""
"Arnav","","2021-10-15","Dark",""
"Arnav","","2021-10-15","Money Heist",""
