"Query Typed","Profile Name","Country Iso Code","Displayed Name","Utc Timestamp","Action","Is Kids","Section","Device"
"kevi","Arnav","IN","Kevin Hart: Acting My Age","2025-11-22 07:15:11","add","0","title_results","Android Phone"
"kevi","Arnav","IN","Kevin Hart: Acting My Age","2025-11-22 07:15:07","supplemental-play","0","title_results","Android Phone"
"kevi","Arnav","IN","Kevin Hart: Acting My Age","2025-11-22 07:15:06","select","0","title_results","Android Phone"
"fra","Arnav","IN","Frankenstein","2025-11-12 02:17:24","download","0","title_results","Android Phone"
"fra","Arnav","IN","Frankenstein","2025-11-12 02:17:23","supplemental-play","0","title_results","Android Phone"
"fra","Arnav","IN","Frankenstein","2025-11-12 02:17:09","select","0","title_results","Android Phone"
"crow","Arnav","IN","iNumber Number: Jozi Gold","2025-11-09 18:21:45","supplemental-play","0","title_results","Android Phone"
"crow","Arnav","IN","iNumber Number: Jozi Gold","2025-11-09 18:21:45","select","0","title_results","Android Phone"
"crow","Arnav","IN","24 Hours with Gaspar","2025-11-09 18:21:28","supplemental-play","0","title_results","Android Phone"
"crow","Arnav","IN","24 Hours with Gaspar","2025-11-09 18:21:27","select","0","title_results","Android Phone"
"crow","Arnav","IN","Game","2025-11-09 18:20:48","supplemental-play","0","title_results","Android Phone"
"crow","Arnav","IN","Game","2025-11-09 18:20:47","select","0","title_results","Android Phone"
"crow","Arnav","IN","Agneepath (2012)","2025-11-09 18:19:34","supplemental-play","0","title_results","Android Phone"
"crow","Arnav","IN","Agneepath (2012)","2025-11-09 18:19:30","select","0","title_results","Android Phone"
"crow","Arnav","IN","Agneepath (2012)","2025-11-09 18:19:25","supplemental-play","0","title_results","Android Phone"
"crow","Arnav","IN","Agneepath (2012)","2025-11-09 18:18:59","select","0","title_results","Android Phone"
"crow","Arnav","IN","Agneepath (2012)","2025-11-09 18:18:59","supplemental-play","0","title_results","Android Phone"
"crow","Arnav","IN","Caramelo","2025-11-09 18:18:46","supplemental-play","0","title_results","Android Phone"
"crow","Arnav","IN","Caramelo","2025-11-09 18:18:45","select","0","title_results","Android Phone"
"crow","Arnav","IN","High & Low The Worst X","2025-11-09 18:18:07","select","0","title_results","Android Phone"
"crow","Arnav","IN","Kurukshetra","2025-11-09 18:17:43","select","0","title_results","Android Phone"
"crow","Arnav","IN","As the Crow Flies","2025-11-09 18:17:03","select","0","title_results","Android Phone"
"house of ","Arnav","IN","House of Cards","2025-11-09 18:15:11","select","0","title_results","Android Phone"
"korean horror","Arnav","IN","The 8th Night","2025-11-08 14:28:29","supplemental-play","0","title_results","Android Phone"
"korean horror","Arnav","IN","The 8th Night","2025-11-08 14:26:44","play","0","title_results","Android Phone"
"korean horror","Arnav","IN","The 8th Night","2025-11-08 14:26:37","supplemental-play","0","title_results","Android Phone"
"korean horror","Arnav","IN","The 8th Night","2025-11-08 14:26:36","select","0","title_results","Android Phone"
"extra cu","Arnav","IN","Extracurricular","2025-11-08 14:24:44","supplemental-play","0","title_results","Android Phone"
"extra cu","Arnav","IN","Extracurricular","2025-11-08 14:24:44","select","0","title_results","Android Phone"
"extra cu","Arnav","IN","Barbie Color Creations","2025-11-08 14:24:40","select","0","title_results","Android Phone"
"what goes around comes around","Arnav","IN","Karma","2025-11-08 14:24:28","select","0","title_results","Android Phone"
"what goes around comes around","Arnav","IN","Karma","2025-11-08 14:24:12","supplemental-play","0","title_results","Android Phone"
"what goes around comes around","Arnav","IN","Karma","2025-11-08 14:24:11","select","0","title_results","Android Phone"
