"Localized Device Description","Country","Esn","Region Code Display Name","Ip","Device Description","Ts","Near Location"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.205.172.145","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-13 13:30:33","MAJHRA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bbb4:e11b:0:0:307:55e","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-12 22:21:45","GAJAULI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bb71:7b98:0:0:2db:11e1","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-12 08:27:03","JANU"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","223.188.22.33","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-11 22:15:17","FARIDPUR HAMIR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:bcba:dcc5:0:0:34d9:a2c9","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-11 14:21:57","HARIDWAR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:84db:1e46:0:0:6187:b4ec","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-11 08:32:48","MATHURA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:8645:e6eb:0:0:65b9:7556","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-10 14:29:55","SUFIPUR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","223.184.181.187","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-10 07:21:21","SAHARANPUR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:824b:537f:0:0:6099:ae5f","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-09 12:00:52","HARIDWAR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","106.205.172.84","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-09 07:31:03","HARIDWAR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:84d1:766:0:0:605a:7be8","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-09 03:08:57","DEHRADUN"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:8259:a0c1:0:0:5fd9:ff51","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-08 02:49:41","SAHARANPUR"
